rsi_high,rsi_low,exit_rsi,capital_pct,avg_return,min_return,max_return,std_return,return_2020-2022,return_2022-2024,return_2024-today,trades_2020-2022,trades_2022-2024,trades_2024-today
65,30,50,0.9,11.923801666666705,6.503259999999951,15.008965000000027,3.845104970964945,15.008965000000027,14.259180000000137,6.503259999999951,26,33,21
65,30,50,0.8,10.589990000000006,5.774144999999989,13.327265000000013,3.415918165225382,13.327265000000013,12.668560000000012,5.774144999999989,26,33,21
65,30,55,0.9,9.697390000000032,5.464689999999973,17.856275000000082,5.770559833830429,17.856275000000082,5.771205000000045,5.464689999999973,29,36,27
65,25,50,0.9,7.355766666666711,5.126654999999999,8.858115000000106,1.6077079212154834,8.082530000000029,8.858115000000106,5.126654999999999,18,28,19
65,30,55,0.8,8.618548333333393,4.894970000000045,15.772860000000016,5.0602747696383625,15.772860000000016,5.187815000000119,4.894970000000045,29,36,27
65,25,50,0.8,6.534144999999974,4.6045049999999605,7.818445000000036,1.3891725037110103,7.179484999999927,7.818445000000036,4.6045049999999605,18,28,19
60,30,50,0.9,10.582643333333396,4.556580000000002,15.02219000000009,4.417391728024874,12.169160000000092,15.02219000000009,4.556580000000002,28,37,23
60,30,55,0.9,8.159421666666734,4.301235000000088,15.573235000000043,5.24381265521777,15.573235000000043,4.603795000000071,4.301235000000088,35,44,33
60,30,50,0.8,9.380478333333334,4.0736150000000055,13.334560000000042,3.8998965158499956,10.733259999999952,13.334560000000042,4.0736150000000055,28,37,23
60,30,55,0.8,7.255520000000028,3.928190000000075,13.80430499999992,4.630892002704874,13.80430499999992,4.03406500000009,3.928190000000075,35,44,33
65,35,50,0.9,8.061691666666665,3.3285750000000114,10.600699999999982,3.349779498982805,10.600699999999982,10.255800000000002,3.3285750000000114,27,35,22
60,25,50,0.9,6.052480000000014,3.2785199999999897,9.585555000000051,2.630191920782614,5.293365000000005,9.585555000000051,3.2785199999999897,20,32,21
65,40,50,0.9,7.784696666666714,3.1727850000000326,10.23573000000007,3.2632646635803684,10.23573000000007,9.94557500000004,3.1727850000000326,36,43,25
65,35,50,0.8,7.184625000000058,3.0150599999999685,9.41016000000012,2.950566666837131,9.41016000000012,9.128655000000087,3.0150599999999685,27,35,22
65,40,50,0.8,6.934313333333383,2.8774499999999534,9.08234500000003,2.870297224912303,9.08234500000003,8.843145000000165,2.8774499999999534,36,43,25
60,25,50,0.8,5.375370000000006,2.870484999999986,8.502170000000042,2.340805087318631,4.753454999999987,8.502170000000042,2.870484999999986,20,32,21
65,35,55,0.9,6.736551666666632,2.705799999999959,14.527875000000043,5.510401604935235,14.527875000000043,2.705799999999959,2.975979999999894,30,38,29
65,25,55,0.9,5.868179999999993,2.581869999999981,10.661714999999967,3.466484213769994,10.661714999999967,2.581869999999981,4.360955000000031,20,30,23
65,35,55,0.8,6.030400000000067,2.5113750000000583,12.889030000000071,4.85033689495036,12.889030000000071,2.5113750000000583,2.690795000000071,30,38,29
65,25,55,0.8,5.222741666666698,2.3335350000000328,9.426675000000017,3.0413306759742795,9.426675000000017,2.3335350000000328,3.9080150000000433,20,30,23
65,30,45,0.9,5.130940000000036,2.305014999999985,6.995735000000058,2.0320009329517568,6.995735000000058,6.092070000000065,2.305014999999985,22,28,18
65,40,55,0.9,6.57946000000003,2.0846050000000105,15.420465000000055,6.251829351039333,15.420465000000055,2.233310000000027,2.0846050000000105,44,49,33
65,30,45,0.8,4.4967633333333366,1.9765099999999802,6.188924999999959,1.8166657900961258,6.188924999999959,5.324855000000069,1.9765099999999802,22,28,18
65,40,55,0.8,5.875355000000041,1.9462750000000524,13.603565000000003,5.464927209255983,13.603565000000003,2.076225000000064,1.9462750000000524,44,49,33
60,30,45,0.9,4.674523333333389,1.542650000000067,7.714440000000089,2.5204615942896114,4.76648000000001,7.714440000000089,1.542650000000067,24,32,20
60,35,55,0.9,5.2510549999999885,1.523550000000032,12.360469999999973,5.029095028443641,12.360469999999973,1.523550000000032,1.8691449999999603,36,46,35
60,35,50,0.9,6.765531666666715,1.4610950000000302,11.05683000000006,3.982408777729754,7.778670000000057,11.05683000000006,1.4610950000000302,29,39,24
70,30,55,0.9,5.622015000000014,1.454120000000068,13.828069999999979,5.802798852842455,13.828069999999979,1.454120000000068,1.5838549999999958,24,28,20
60,35,55,0.8,4.68635,1.436985000000015,10.925740000000005,4.413185167803033,10.925740000000005,1.436985000000015,1.6963249999999825,36,46,35
60,35,50,0.8,6.068443333333398,1.3314199999999545,9.929175000000047,3.56429170839583,6.944735000000189,9.929175000000047,1.3314199999999545,29,39,24
60,30,45,0.8,4.153728333333372,1.329195000000036,6.9224200000001,2.2837659240763575,4.209569999999978,6.9224200000001,1.329195000000036,24,32,20
60,25,55,0.9,4.355644999999995,1.3174850000000005,8.502294999999926,3.036108940085388,8.502294999999926,1.3174850000000005,3.247155000000057,26,38,29
60,40,50,0.9,6.558936666666724,1.3141250000000437,10.836355000000083,3.9471596065405903,7.526330000000045,10.836355000000083,1.3141250000000437,38,47,27
60,25,55,0.8,3.934723333333342,1.2939749999999912,7.553160000000032,2.6471689372999307,7.553160000000032,1.2939749999999912,2.9570350000000034,26,38,29
70,30,55,0.8,4.994538333333368,1.2917550000000628,12.201389999999984,5.096659371379634,12.201389999999984,1.2917550000000628,1.4904700000000592,24,28,20
60,40,50,0.8,5.816946666666685,1.1943149999999731,9.627705000000047,3.4904508261883755,6.628820000000037,9.627705000000047,1.1943149999999731,38,47,27
